,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot cases/1m_pop,deaths/1m_pop,total_tests,tests/_1m_pop,lat,long
1,USA,1341281,19496,79823,1208,232360,1029098,16796,4052.0,241,8571364,25895,37.09024,-95.712891
2,Spain,262783,2666,26478,179,173157,63148,1741,5620.0,566,2467761,52781,40.463667,-3.74922
3,Italy,218268,1083,30395,194,103031,84842,1034,3610.0,503,2514234,41584,41.87194,12.56738
4,UK,215260,3896,31587,346,0,183329,1559,3171.0,465,1728443,25461,55.3781,3.436
5,Russia,198676,10817,1827,104,31916,164933,2300,1361.0,13,5221964,35783,61.52401,105.318756
6,France,176658,579,26310,80,56038,94310,2812,2706.0,403,1384633,21213,46.227638,2.213749
7,Germany,171264,676,7543,33,143300,20421,1650,2044.0,90,2755770,32891,51.165690999999995,10.451526
8,Brazil,148670,2778,10100,108,59297,79273,8318,699.0,48,339552,1597,-14.235004,-51.92528
9,Turkey,137115,1546,3739,50,89480,43896,1168,1626.0,44,1334411,15822,38.963745,35.243322
10,Iran,106220,1529,6589,48,85064,14567,2696,1265.0,78,573220,6825,32.427908,53.688046
11,Canada,67619,1185,4690,121,30980,31949,502,1792.0,124,1032088,27346,56.130366,-106.346771
12,India,62808,3113,2101,116,19301,41406,0,46.0,2,1523213,1104,20.593684,78.96288
13,Peru,61847,0,1714,0,19012,41121,730,1876.0,52,473190,14351,-9.189967,-75.015152
14,Belgium,52596,585,8581,60,13411,30604,502,4538.0,740,540643,46649,50.503887,4.469936
15,Netherlands,42382,289,5422,63,0,36710,541,2473.0,316,249655,14570,52.132633,5.291266
16,Saudi Arabia,37136,1704,239,10,10144,26753,140,1067.0,7,433500,12452,23.885942,45.079162
17,Mexico,31522,1906,3160,199,20314,8048,378,244.0,25,123446,957,23.634501,-102.552784
18,Switzerland,30251,44,1830,7,26100,2321,101,3495.0,211,306223,35383,46.818188,8.227512
19,Ecuador,29071,253,1717,13,3433,23921,181,1648.0,97,83657,4742,-1.8312389999999998,-78.183406
20,Pakistan,28736,2301,636,37,7809,20291,111,130.0,3,270025,1222,30.375321000000003,69.345116
21,Portugal,27406,138,1126,12,2499,23781,120,2688.0,110,517660,50767,39.399871999999995,-8.224454
22,Chile,27219,1247,304,10,12667,14248,544,1424.0,16,267904,14015,-35.675146999999996,-71.542969
23,Sweden,25921,656,3220,45,4971,17730,425,2567.0,319,148500,14704,60.128161,18.643501
24,Ireland,22760,219,1446,17,17110,4204,72,4609.0,293,214761,43493,53.41291,-8.24389
25,Singapore,22460,753,20,0,2296,20144,23,3839.0,3,175604,30016,1.352083,103.819836
26,Belarus,22052,951,126,5,6050,15876,92,2334.0,13,251771,26644,53.709807,27.953389
27,Qatar,21331,1130,13,1,2449,18869,72,7404.0,5,124554,43232,25.354826,51.183884
28,UAE,17417,624,185,11,4295,12937,1,1761.0,19,1200000,121330,23.4241,53.8478
29,Israel,16454,18,247,2,11376,4831,78,1901.0,29,451028,52109,31.046051000000002,34.851612
30,Austria,15833,59,615,1,13928,1290,79,1758.0,68,311690,34608,47.516231,14.550072
31,Poland,15651,285,785,9,5437,9429,160,414.0,21,460686,12172,51.919438,19.145136
32,Japan,15575,0,590,0,5146,9839,300,123.0,5,202013,1597,36.204824,138.252924
33,Romania,15131,320,936,13,6912,7283,245,787.0,49,248056,12894,45.943160999999996,24.96676
34,Ukraine,14710,515,376,15,2909,11425,190,336.0,9,167107,3821,48.379433,31.16558
35,Bangladesh,13770,636,214,8,2414,11142,1,84.0,1,116919,710,23.684994,90.356331
36,Indonesia,13645,533,959,16,2607,10079,0,50.0,4,150887,552,-0.789275,113.921327
37,S. Korea,10840,18,256,0,9568,1016,55,211.0,5,660030,12874,35.9078,127.7669
38,Philippines,10610,147,704,8,1842,8064,31,97.0,6,157730,1439,12.879721,121.774017
39,Denmark,10319,101,526,4,8093,1700,39,1782.0,91,308984,53345,56.26392,9.501785
40,Colombia,10051,0,428,0,2424,7199,130,198.0,8,139739,2746,4.570868,-74.297333
41,Serbia,10032,89,213,4,2732,7087,43,1148.0,24,134533,15397,44.016521000000004,21.005859
42,Dominican Republic,9882,506,385,5,2584,6913,134,911.0,35,40591,3742,18.735692999999998,-70.162651
43,South Africa,9420,525,186,8,3983,5251,77,159.0,3,324079,5464,-30.559482,22.937506
44,Egypt,8964,488,514,11,2002,6448,41,88.0,5,90000,879,26.820553000000004,30.802498
45,Czechia,8089,12,276,3,4446,3367,47,755.0,26,298649,27888,49.8175,15.473
46,Norway,8084,14,219,1,32,7833,24,1491.0,40,195921,36140,60.472024,8.468946
47,Panama,8070,202,231,6,886,6953,85,1870.0,54,40356,9353,8.537981,-80.782127
48,Kuwait,7623,415,49,2,2622,4952,95,1785.0,11,196397,45988,29.311659999999996,47.481766
49,Australia,6929,15,97,0,6135,697,19,272.0,4,795456,31194,-25.274398,133.775136
50,Malaysia,6589,54,108,1,4929,1552,18,204.0,3,245102,7573,4.210483999999999,101.975766
51,Morocco,5910,199,186,0,2461,3263,1,160.0,5,63059,1708,31.791702,-7.09262
52,Finland,5880,142,265,5,4000,1615,45,1061.0,48,119100,21495,61.92411,25.748151
53,Argentina,5611,0,293,0,1728,3590,148,124.0,6,77901,1724,-38.416097,-63.616672
54,Algeria,5558,189,494,6,2546,2518,22,127.0,11,6500,148,28.033886,1.659626
55,Kazakhstan,4946,112,31,0,1740,3175,31,263.0,2,385104,20510,48.019573,66.923684
56,Moldova,4867,139,161,11,1925,2781,237,1207.0,40,20447,5069,47.411631,28.369885
57,Bahrain,4774,330,8,0,2055,2711,2,2806.0,5,178353,104816,25.930414000000003,50.637772
58,Afghanistan,4033,255,115,6,502,3416,7,104.0,3,15560,400,33.93911,67.709953
59,Ghana,4012,0,18,0,323,3671,8,129.0,0,149948,4826,7.946527000000001,-1.023194
60,Nigeria,3912,0,117,0,679,3116,4,19.0,0,23835,116,9.081999,8.675277
61,Luxembourg,3877,6,101,1,3550,226,15,6194.0,161,54463,87005,49.815273,6.129583
62,Oman,3224,112,17,1,1068,2139,17,631.0,3,50000,9791,21.512583,55.923255
63,Hungary,3213,35,405,13,904,1904,74,333.0,42,103258,10689,47.162494,19.503304
64,Armenia,3175,146,44,1,1267,1864,10,1071.0,15,30397,10258,40.069099,45.038189
65,Thailand,3004,4,56,1,2787,161,61,43.0,0,227860,3264,15.870032,100.992541
66,Greece,2710,19,151,1,1374,1185,28,260.0,14,97384,9343,39.074208,21.824312
67,Iraq,2679,76,107,3,1702,870,0,67.0,3,124920,3106,33.223191,43.679291
68,Azerbaijan,2422,143,31,3,1620,771,29,239.0,3,188950,18636,40.143105,47.576927
69,Uzbekistan,2349,24,10,0,1846,493,8,70.0,0,325000,9710,41.377491,64.585262
70,Cameroon,2274,7,108,0,1232,934,12,86.0,4,0,0,7.369722,12.354722
71,Bolivia,2266,185,106,4,237,1923,3,194.0,9,7651,655,-16.290154,-63.588653
72,Croatia,2176,15,87,1,1726,363,13,530.0,21,44218,10771,45.1,15.2
73,Bosnia and Herzegovina,2090,20,102,4,1059,929,4,637.0,31,39989,12189,43.915886,17.679076
74,Guinea,2009,0,11,0,663,1335,0,153.0,0,0,0,9.945587,-9.696645
75,Bulgaria,1921,49,90,4,422,1409,56,276.0,13,56105,8074,42.733883,25.48583
76,Iceland,1801,0,10,0,1773,18,0,5278.0,29,53260,156076,64.96305100000001,-19.020835
77,Honduras,1771,86,107,2,192,1472,10,179.0,11,5653,571,15.199998999999998,-86.241905
78,Cuba,1754,13,74,0,1140,540,8,155.0,7,63560,5612,21.521757,-77.781167
79,Estonia,1733,8,60,4,747,926,5,1306.0,45,62720,47281,58.595271999999994,25.013607
80,Ivory Coast,1667,65,21,1,769,877,0,63.0,0,12312,467,7.54,5.5471
81,Senegal,1634,83,17,4,643,974,6,98.0,1,18969,1133,14.497401000000002,-14.452362
82,North Macedonia,1622,36,91,1,1112,419,21,779.0,44,18821,9034,41.6086,21.7453
83,New Zealand,1492,2,21,0,1368,103,2,309.0,4,183039,37957,-40.900557,174.885971
84,Slovakia,1455,0,26,0,919,510,5,267.0,5,118371,21681,48.669026,19.699024
85,Slovenia,1454,4,101,1,255,1098,10,699.0,49,62203,29921,46.151241,14.995463
86,Lithuania,1444,8,49,0,828,567,17,530.0,18,180332,66243,55.169438,23.881275
87,Djibouti,1189,54,3,0,834,352,0,1203.0,3,15056,15239,11.825138,42.590275
88,Sudan,1111,0,59,0,102,950,0,25.0,1,0,0,12.862807,30.217636
89,Hong Kong,1045,0,4,0,967,74,1,139.0,0,168291,22448,22.396428,114.109497
90,Tunisia,1030,0,45,0,638,347,24,87.0,4,27420,2320,33.886917,9.537499
91,Somalia,997,69,48,4,110,839,2,63.0,3,0,0,5.152149,46.199616
92,Mayotte,988,134,11,1,492,485,7,3622.0,40,4000,14662,-12.8275,45.166244
93,DRC,937,74,39,3,130,768,0,10.0,0,0,0,4.0383,21.7587
94,Kyrgyzstan,931,25,12,0,658,261,13,143.0,2,59490,9118,41.20438,74.766098
